IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.118.216,2083,0,true,SIN,Asia Pacific,Singapore,290,0.94
47.236.164.215,2086,2086,false,SIN,Asia Pacific,Singapore,303,0.94
47.237.95.146,2095,2095,false,SIN,Asia Pacific,Singapore,317,0.93
47.237.94.140,2087,2087,true,SIN,Asia Pacific,Singapore,283,0.93
47.236.169.164,2082,2082,false,SIN,Asia Pacific,Singapore,284,0.93
8.219.161.129,8080,8080,false,SIN,Asia Pacific,Singapore,359,0.92
47.236.10.182,2096,0,true,SIN,Asia Pacific,Singapore,360,0.92
47.236.171.205,2083,0,true,SIN,Asia Pacific,Singapore,295,0.88
47.236.170.225,8880,8880,false,SIN,Asia Pacific,Singapore,352,0.87
8.219.161.129,8880,8880,false,SIN,Asia Pacific,Singapore,354,0.87
47.236.205.188,80,80,false,SIN,Asia Pacific,Singapore,407,0.86
47.237.125.8,2052,2052,false,SIN,Asia Pacific,Singapore,318,0.84
47.237.84.173,2053,0,true,SIN,Asia Pacific,Singapore,292,0.84
47.236.93.176,80,80,false,SIN,Asia Pacific,Singapore,302,0.83
47.236.202.91,2052,2052,false,SIN,Asia Pacific,Singapore,284,0.82
47.237.125.8,8880,8880,false,SIN,Asia Pacific,Singapore,291,0.82
8.219.198.139,2086,2086,false,SIN,Asia Pacific,Singapore,404,0.82
47.236.189.92,2053,2053,true,SIN,Asia Pacific,Singapore,307,0.77
47.236.102.102,2082,2082,false,SIN,Asia Pacific,Singapore,296,0.75
8.219.191.40,2053,0,true,SIN,Asia Pacific,Singapore,291,0.74
47.236.144.156,80,80,false,SIN,Asia Pacific,Singapore,301,0.73
47.236.104.11,2082,0,false,SIN,Asia Pacific,Singapore,437,0.73
47.236.104.11,80,80,false,SIN,Asia Pacific,Singapore,309,0.73
8.222.156.242,2087,0,true,SIN,Asia Pacific,Singapore,354,0.71
47.236.104.11,2086,2086,false,SIN,Asia Pacific,Singapore,301,0.70
47.236.174.206,2082,0,false,SIN,Asia Pacific,Singapore,292,0.70
47.236.167.231,2053,0,true,SIN,Asia Pacific,Singapore,408,0.67
